,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
2102,塁,土,12,S,bases,"ルイ
rui"
2103,励,力,7,S,encourage,"レイ、はげ-む、はげ-ます
rei, hage-mu, hage-masu"
2104,戻,戶,7,S,re-,"レイ、もど-す、もど-る
rei, modo-su, modo-ru"
2105,鈴,金,13,S,small bell,"レイ、リン、すず
rei, rin, suzu"
2106,零,雨,13,S,zero,"レイ
rei"
2107,霊,雨,15,S,spirits,"レイ、リョウ、たま
rei, ryō, tama"
2108,隷,隶,16,S,slave,"レイ
rei"
2109,齢,齒,17,S,age,"レイ
rei"
2110,麗,鹿,19,S,lovely,"レイ、うるわ-しい
rei, uruwa-shii"
2111,暦,日,14,S,calendar,"レキ、こよみ
reki, koyomi"
2112,劣,力,6,S,inferiority,"レツ、おと-る
retsu, oto-ru"
2113,烈,火,10,S,ardent,"レツ
retsu"
2114,裂,衣,12,S,split,"レツ、さ-く、さ-ける
retsu, sa-ku, sa-keru"
2115,恋,心,10,S,romance,"レン、こ-う、こい、こい-しい
ren, ko-u, koi, koi-shii"
2116,廉,广,13,S,bargain,"レン
ren"
2117,錬,金,16,S,tempering,"レン
ren"
2118,呂,口,7,S,spine,"ロ
ro"
2119,炉,火,8,S,hearth,"ロ
ro"
2120,賂,貝,13,S,bribe,"ロ
ro"
2121,露,雨,21,S,dew,"ロ、（ロウ）、つゆ
ro, (rō), tsuyu"
2122,弄,廾,7,S,tamper with,"ロウ、もてあそ-ぶ
rō, moteaso-bu"
2123,郎,邑,9,S,son,"ロウ
rō"
2124,浪,水,10,S,wandering,"ロウ
rō"
2125,廊,广,12,S,corridor,"ロウ
rō"
2126,楼,木,13,S,watchtower,"ロウ
rō"
2127,漏,水,14,S,leak,"ロウ、も-る、も-れる、も-らす
rō, mo-ru, mo-reru, mo-rasu"
2128,籠,竹,22,S,basket,"ロウ、かご、こ-もる
rō, kago, ko-moru"
2129,麓,鹿,19,S,foot of a mountain,"ロク、ふもと
roku, fumoto"
2130,賄,貝,13,S,bribe,"ワイ、まかな-う
wai, makana-u"
2131,脇,肉,10,S,aside,"わき
waki"
2132,惑,心,12,S,beguile,"ワク、まど-う
waku, mado-u"
2133,枠,木,8,S,frame,"わく
waku"
2134,湾,水,12,S,gulf,"ワン
wan"
2135,腕,肉,12,S,arm,"ワン、うで
wan, ude"
